category_name,main_category
Political,Public & Social Services
Ports and Harbours,Transport & Motoring
Post Offices,Public & Social Services
Pregnancy & Child,Health & Beauty
Printing,Business Services
Product Development,Manufacturing & Industry
Project Management,Computers & Internet
Public Relations,Business Services
Public Transport,Public & Social Services
Pubs and Clubs,Entertainment & Media
Pumps Manufacture,Manufacturing & Industry
Rail Transport,Transport & Motoring
Real Estate Agents,Property
Realtors,Property
Recreation,Tourism & Accommodation
Recycling,Business Services
Religion,Public & Social Services
Remodeling,Tradesmen & Construction
Removals and Relocation,Property
Renovation,Property
Rental 23,Property
Restaurants,Food & Drink
Retail Services,Business Services
Retirement,Public & Social Services
Roofing,Tradesmen & Construction
SaaS,Computers & Internet
Sales Outsourcing,Business Services
Sandblasting,Tradesmen & Construction
Scanning Services,Computers & Internet
Schools,Public & Social Services
Science,Manufacturing & Industry
Second-hand Shop,Shopping
Secondhand Stores,Shopping
Secretarial Services,Business Services
Security,Property
Security Services,Business Services
SEE Result,Academic Results
Self Catering Accommodation,Tourism & Accommodation
Sewing and Needlework,Health & Beauty
Shipping & Port Agent,Transport & Motoring
Shopping Music,Shopping
Shops,Shopping
Sightseeing,Tourism & Accommodation
Small Business,Business Services
Social Network,Entertainment & Media
Social Work Services,Public & Social Services
Software,Computers & Internet
Software Applications,Computers & Internet
Software Engineering,Computers & Internet
Software Solutions,Computers & Internet
Solar Panels,Manufacturing & Industry
Solicitors,Legal
Specialist Accommodation,Tourism & Accommodation
Spirituality,Health & Beauty
Sports,Entertainment & Media
Stainless Steel,Tradesmen & Construction
Staircase Timber Handrail,Tradesmen & Construction
Steel Products,Manufacturing & Industry
Stock Exchanges,Finances & Insurance
Stone,Tradesmen & Construction
Storage Services,Business Services
Streaming Services,Computers & Internet
Supermarket,Food & Drink
Sustainability,Public & Social Services
Tailors and Alterations,Business Services
Take Aways,Food & Drink
Tax Consultants,Finances & Insurance
Taxis,Transport & Motoring
Tempered Glass Railing,Tradesmen & Construction
Textile,Shopping
Timeshares,Business Services
Tire Dealers,Transport & Motoring
Tourism,Tourism & Accommodation
Tourist Information,Tourism & Accommodation
Tour Operators,Tourism & Accommodation
Towing Service,Transport & Motoring
Trading Platform,Computers & Internet
Training,Business Services
Translation Services,Tourism & Accommodation
Transport,Transport & Motoring
Transport Agents,Transport & Motoring
Transportation,Transport & Motoring
Travel Agents,Tourism & Accommodation
Tree Service,Business Services
Tutoring,Public & Social Services
Unions,Public & Social Services
Universities,Public & Social Services
Utilities,Manufacturing & Industry
Vacation Rentals,Property
Vehicle Manufacturers,Transport & Motoring
Vehicle Sales,Transport & Motoring
Vehicle Services,Transport & Motoring
Virtual Reality,Computers & Internet
Visa Agencies,Tourism & Accommodation
Vitamins & Supplements,Health & Beauty
Voluntary Organisations,Public & Social Services
Warehouses,Property
Warehousing,Business Services
Waste Services,Business Services
Water Filters,Tradesmen & Construction
Water Treatment,Manufacturing & Industry
Web Design,Computers & Internet
Web Development,Computers & Internet
Web Hosting,Computers & Internet
Web Services,Computers & Internet
Weddings,Events & Conferences
Wellness,Health & Beauty
Wills and Trusts,Legal
Windows,Tradesmen & Construction
Wine and Beer,Food & Drink
Wrought Iron,Tradesmen & Construction
Youth Organizations,Public & Social Services
